guid,Country,Country:de,Country:es,Country:fr,Country:nb,"Country info","Country info:de","Country info:es","Country info:fr","Country info:nb",Capital,Capital:de,Capital:es,Capital:fr,Capital:nb,"Capital info","Capital info:de","Capital info:es","Capital info:fr","Capital info:nb","Capital hint","Capital hint:de","Capital hint:es","Capital hint:fr","Capital hint:nb",Flag,"Flag similarity","Flag similarity:de","Flag similarity:es","Flag similarity:fr","Flag similarity:nb",Map,tags
"j=,1:f39$]","Galápagos Islands",Galapagosinseln,"Islas Galápagos","Îles Galápagos",Galápagosøyene,"Province of Ecuador.","Ecuadorianische Provinz.","Provincia de Ecuador.","Province de l'Équateur.","Region i Ecuador.","Puerto Baquerizo Moreno","Puerto Baquerizo Moreno","Puerto Baquerizo Moreno","Puerto Baquerizo Moreno","Puerto Baquerizo Moreno",,,,,,,,,,,"<img src=""ug-flag-galapagos_islands.svg"" />","Sierra Leone (slightly lighter blue)","Sierra Leone (etwas helleres Blau)","Sierra Leona (azul ligeramente más claro)","Sierra Leone (bleu légèrement plus clair)","Sierra Leone (noe lysere blå)","<img src=""ug-map-galapagos_islands.png"" />",UG::South_America
i;=jdbhl(w,Saba,Saba,Saba,Saba,Saba,"Special municipality of the Netherlands.","Besondere Gemeinde der Niederlande.","Municipio especial de los Países Bajos.","Commune des Pays-Bas à statut particulier.","Kommune med særstatus i Nederland. Øy i Karibia.","The Bottom","The Bottom","The Bottom","The Bottom","The Bottom",,,,,,,,,,,"<img src=""ug-flag-saba.svg"" />",,,,,,"<img src=""ug-map-saba.png"" />","UG::Caribbean UG::North_America"
r3?J{NB0J3,"Sint Eustatius","Sint Eustatius","San Eustaquio",Saint-Eustache,"Sint Eustatius","Special municipality of the Netherlands.","Besondere Gemeinde der Niederlande.","Municipio especial de los Países Bajos.","Commune des Pays-Bas à statut particulier.","Kommune med særstatus i Nederland.",Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad,,,,,,"Special municipality","Besondere Gemeinde","Es un municipio especial","Commune à statut particulier","Kommune med særstatus","<img src=""ug-flag-sint_eustatius.svg"" />",,,,,,"<img src=""ug-map-sint_eustatius.png"" />","UG::Caribbean UG::North_America"
rNv|0qxR]K,"Easter Island",Osterinsel,"Isla de Pascua","Île de Pâques",Påskeøya,"Polynesian island and special territory of Chile.","Polynesische Insel unter Chilenischer Regierung.","Isla de la Polinesia y territorio especial de Chile.","Île polynésienne et territoire spécial du Chili.","Territorium i Chile.",,,,,,,,,,,,,,,,"<img src=""ug-flag-easter_island.svg"" />",,,,,,"<img src=""ug-map-easter_island.png"" />",UG::Oceania
~)7-62ytBX,Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,"Special municipality of the Netherlands.","Besondere Gemeinde der Niederlande.","Municipio especial de los Países Bajos.","Commune des Pays-Bas à statut particulier.","Kommune med spesiell status i Nederland.",Kralendijk,Kralendijk,Kralendijk,Kralendijk,Kralendijk,,,,,,,,,,,"<img src=""ug-flag-bonaire.svg"" />",,,,,,"<img src=""ug-map-bonaire.png"" />","UG::Caribbean UG::North_America"
ArmciP%a;a,"British Indian Ocean Territory","Britisches Territorium im Indischen Ozean","Territorio Británico del Océano Índico","Territoire britannique de l'océan Indien","Det britiske territoriet i Indiahavet","Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Britisk besittelse.","Camp Justice",,"Camp Justice",,,,,,,,,,,,,"<img src=""ug-flag-british_indian_ocean_territory.svg"" />",,,,,,"<img src=""ug-map-british_indian_ocean_territory.png"" />",UG::Africa
qAsU}ONgC#,"Mount Athos",Athos,"Monte Athos","Mont Athos",Athos,"Autonomous orthodox monastic state in northeastern Greece, also known as the Holy Mountain.","Autonomer orthodoxer Klosterstaat im Nordosten Griechenlands, auch bekannt als „Heilige Berg“.","Estado monástico ortodoxo autónomo en la parte noreste de Grecia, también conocido como la Montaña Sagrada.","République monastique autonome au nord-est de la Grêce, aussi connue comme la Sainte-Montagne.","Autonom munkerepublikk i Nord-Hellas. Også kalt Det hellige berget.",Karyes,Karyes,Karyes,Karyès,Karyes,,,,,,,,,,,"<img src=""ug-flag-mount_athos.png"" />",,,,,,"<img src=""ug-map-mount_athos.png"" />",UG::Europe

cy]sz097{A,Anguilla,Anguilla,Anguila,Anguilla,Anguilla,"Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Selvstyrt britisk oversjøisk territorium i Karibia.","The Valley","The Valley","El Valle","The Valley","The Valley",,,,,,,,,,,"<img src=""ug-flag-anguilla.svg"" />",,,,,,,"UG::Caribbean UG::North_America"
mHDrx]xo!x,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,"Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Britisk kronkoloni.",Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,,,,,,,,,,,"<img src=""ug-flag-gibraltar.svg"" />",,,,,,,"UG::Europe UG::Mediterranean"
rbjYQCA<Z.,"Saint Martin",Saint-Martin,"San Martín (Francia)","Saint-Martin (Antilles françaises)",Saint-Martin,"Overseas territory of France.","Französisches Überseegebiet.","Territorio de ultramar de Francia.","Collectivité française d'outre-mer.","Fransk oversjøisk land.",Marigot,Marigot,Marigot,Marigot,Marigot,,,,,,,,,,,,,,,,,,"UG::Caribbean UG::North_America"
oDGbPPlkzc,"British Virgin Islands","Britische Jungferninseln","Islas Vírgenes Británicas","Îles Vierges britanniques","De britiske Jomfruøyer","Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Selvstyrt britisk oversjøisk territorium i Karibia.","Road Town","Road Town","Road Town","Road Town","Road Town",,,,,,,,,,,"<img src=""ug-flag-british_virgin_islands.svg"" />",,,,,,,"UG::Caribbean UG::North_America"
~Z$*giAq2R,"Sint Maarten","Sint Maarten","San Martín (Países Bajos)","Saint-Martin (royaume des Pays-Bas)","Sint Maarten","Constituent country of the Kingdom of the Netherlands.","Autonomes Land innerhalb des Königreichs der Niederlande.","Nación constitutiva del Reino de los Países Bajos.","État autonome du royaume des Pays-Bas.","«Land» som sammen med Nederland, Curaçao og Aruba utgjør føderasjonen Kongeriket Nederlandene.",Philipsburg,Philipsburg,Philipsburg,Philipsburg,Philipsburg,,,,,,,,,,,"<img src=""ug-flag-sint_maarten.svg"" />",,,,,,,"UG::Caribbean UG::North_America"
ogLVp1-2mC,"Turks and Caicos Islands","Turks- und Caicosinseln","Islas Turcas y Caicos","Îles Turques-et-Caïques","Turks- og Caicosøyene","Overseas territory of the United Kingdom.","Auch Turks &amp; Caicos. Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Selvstyrt britisk oversjøisk territorium i Karibia.","Cockburn Town","Cockburn Town","Cockburn Town","Cockburn Town","Cockburn Town",,,,,,,,,,,"<img src=""ug-flag-turks_and_caicos_islands.svg"" />",,,,,,,"UG::Caribbean UG::North_America"
nK;HFcd-1P,"Northern Mariana Islands","Nördliche Marianen","Islas Marianas del Norte","Îles Mariannes du Nord",Nord-Marianene,"Unincorporated territory of the United States.","Nichtinkorporiertes US-amerikanisches Außengebiet.","Territorio no incorporado de los Estados Unidos.","Territoire non incorporé des États-Unis.","Uinnlemmet territorium i USA.",Saipan,Saipan,Saipán,Saipan,Saipan,,,,,,,,,,,"<img src=""ug-flag-northern_mariana_islands.png"" />",,,,,,,UG::Oceania
lU*>%[&e|.,"American Samoa",Amerikanisch-Samoa,"Samoa Americana","Samoa américaines","Amerikansk Samoa","Unincorporated territory of the United States.","Nichtinkorporiertes US-amerikanisches Außengebiet.","Territorio no incorporado de los Estados Unidos.","Territoire non incorporé des États-Unis.","Uinnlemmet territorium i USA.","Pago Pago","Pago Pago","Pago Pago","Pago Pago","Pago Pago",,,,,,,,,,,"<img src=""ug-flag-american_samoa.svg"" />",,,,,,,UG::Oceania
t8K|Gnw[k$,"Cayman Islands","Cayman Islands (Kaimaninseln)","Islas Caimán","Îles Caïmans",Caymanøyene,"Overseas territory of the United Kingdom.","Überseegebiet des Vereinigten Königreichs.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Selvstyrt britisk oversjøisk territorium i Karibia.","George Town","George Town","George Town","George Town","George Town",,,,,,"Not a sovereign country","Kein souveräner Staat","No es un país soberano","Pas une nation souveraine","Ikke selvstendig land","<img src=""ug-flag-cayman_islands.svg"" />",,,,,,,"UG::Caribbean UG::North_America"
n#k%mr&bc-,Guernsey,Guernsey,Guernsey,Guernesey,Guernsey,"Crown dependency of the United Kingdom.","Kronbesitz der britischen Krone.","Dependencia de la Corona británica.","Dépendance de la Couronne britannique.","Kanaløy underlagt britisk kronbesittelse.","St. Peter Port","St. Peter Port","Saint Peter Port",Saint-Pierre-Port,"St. Peter Port",,,,,,,,,,,"<img src=""ug-flag-guernsey.svg"" />",,,,,,,UG::Europe
