guid,Country,Country:xx,"Country info","Country info:xx",Capital,Capital:xx,"Capital info","Capital info:xx","Capital hint","Capital hint:xx",Flag,"Flag similarity","Flag similarity:xx",Map,tags
d]f3d/htPe,"Indian Ocean",,,,,,,,,,,,,"<img src=""ug-map-indian_ocean-nobox.png"" />",UG::Oceans+Seas
"e+b<[K.t,Y","Arctic Ocean",,,,,,,,,,,,,"<img src=""ug-map-arctic_ocean-nobox.png"" />",UG::Oceans+Seas
q;`%:Y|$[Z,"Hudson Bay",,,,,,,,,,,,,"<img src=""ug-map-hudson_bay.png"" />",UG::Oceans+Seas
bX?b@#G`+b,"Labrador Sea",,,,,,,,,,,,,"<img src=""ug-map-labrador_sea.png"" />",UG::Oceans+Seas
a)/A6i.IDE,"White Sea",,,,,,,,,,,,,"<img src=""ug-map-white_sea.png"" />",UG::Oceans+Seas
c<gAS-(0qJ,"Denmark Strait",,,,,,,,,,,,,"<img src=""ug-map-denmark_strait.png"" />",UG::Oceans+Seas
j1yLgdVnj),"Norwegian Sea",,,,,,,,,,,,,"<img src=""ug-map-norwegian_sea.png"" />",UG::Oceans+Seas
c130}t)$BS,"Baltic Sea",,,,,,,,,,,,,"<img src=""ug-map-baltic_sea.png"" />",UG::Oceans+Seas
Cc2l|nvbk^,"Celtic Sea",,,,,,,,,,,,,"<img src=""ug-map-celtic_sea.png"" />",UG::Oceans+Seas
oa;|#Te:Ae,"English Channel",,,,,,,,,,,,,"<img src=""ug-map-english_channel.png"" />",UG::Oceans+Seas
w{s0UWM|x@,"Adriatic Sea",,,,,,,,,,,,,"<img src=""ug-map-adriatic_sea.png"" />",UG::Oceans+Seas
FqKy-)oA4;,"Bay of Biscay",,,,,,,,,,,,,"<img src=""ug-map-bay_of_biscay.png"" />",UG::Oceans+Seas
cGtK7?SaPc,"Black Sea",,,,,,,,,,,,,"<img src=""ug-map-black_sea.png"" />",UG::Oceans+Seas
g%pc9WITZo,"Aegean Sea",,,,,,,,,,,,,"<img src=""ug-map-aegean_sea.png"" />",UG::Oceans+Seas
