File,Source,License,Modifications
ug-flag-equatorial_guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Equatorial_Guinea.svg,CC0 1.0,
ug-flag-eritrea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Eritrea.svg,CC0 1.0,
ug-flag-estonia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Estonia.svg,PD,
ug-flag-eswatini.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Eswatini.svg,CC0 1.0,
ug-flag-ethiopia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ethiopia.svg,PD,
ug-flag-european_union.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Europe.svg,PD,
ug-flag-faroe_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Faroe_Islands.svg,PD,
ug-flag-federated_states_of_micronesia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Federated_States_of_Micronesia.svg,PD,
ug-flag-fiji.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Fiji.svg,PD,
ug-flag-finland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Finland.svg,PD,
ug-flag-france.svg,https://commons.wikimedia.org/wiki/File:Flag_of_France.svg,PD,
ug-flag-french_polynesia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_French_Polynesia.svg,CC0 1.0,
ug-flag-gabon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Gabon.svg,PD,
ug-flag-georgia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Georgia.svg,PD,
ug-flag-germany.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Germany.svg,PD,
ug-flag-ghana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ghana.svg,PD,
ug-flag-greece.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greece.svg,PD,
ug-flag-greenland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greenland.svg,PD,
ug-flag-grenada.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Grenada.svg,PD,
ug-flag-guam.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guam.svg,PD,
ug-flag-guam-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guam.svg,PD,Inkscape Gaussian blur of 5
ug-flag-guatemala.png,https://commons.wikimedia.org/wiki/File:Flag_of_Guatemala.svg,PD,
ug-flag-guinea-bissau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea-Bissau.svg,PD,
ug-flag-guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea.svg,PD,
ug-flag-guyana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guyana.svg,PD,
ug-flag-haiti.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Haiti.svg,PD,
