country,capital hint,capital hint:de,capital hint:es,capital hint:fr,capital hint:nb,capital hint:cs,capital hint:ru,capital hint:nl,capital hint:sv,capital hint:pt,capital hint:zh,capital hint:zh-tw,capital hint:pl,capital hint:it,capital hint:da
England,Not a sovereign country,Kein souveräner Staat,No es un país soberano,Pas une nation souveraine,Ikke selvstendig land,Nejedná se o suverénní stát,Не суверенная страна,Geen soevereine staat,Ej suverän stat,Não é um Estado soberano,不是主权国家,不是主權國家,Nie jest suwerennym państwem,Non è uno Stato sovrano,Ikke et selvstændigt land
United Kingdom,Sovereign country,Souveräner Staat,Es un país soberano,Nation souveraine,Selvstendig land,Suverénní stát,Суверенная страна,Soevereine staat,Suverän stat,Estado soberano,主权国家,主權國家,Suwerenne państwo,È uno Stato sovrano,Selvstændigt land
Israel,Claimed and controlled,Behauptet und kontrolliert,Reclamada y controlada,Revendiquée et contrôlée,Krevd og kontrollert,Nárokované a kontrolované,Заявленные и контролируемые,Geclaimd en gecontroleerd,Hävdas och kontrolleras,Reivindicado e controlado,声称对其拥有主权并拥有实际控制权,宣稱擁有主權並有實際控制權,"Terytorium sporne, nad którym sprawuje on władzę",Rivendicata e controllata,Gjort krav på og kontrolleret
Palestine,Claimed but not controlled,"Behauptet, aber nicht kontrolliert",Reclamada pero no controlada,Revendiquée mais non contrôlée,"Krevd, men ikke kontrollert","Nárokováno, ale nekontrolováno","Заявлено, но не контролируется",Geclaimd maar niet gecontroleerd,Påstått men inte kontrollerat,"Reivindicada, mas não controlada",声称对其拥有主权但没有实际控制权,宣稱擁有主權但沒有實際控制權,"Terytorium sporne, nad którym nie sprawuje ona władzy",Rivendicata ma non controllata,"Gjort krav på, men ikke kontrolleret"
Puerto Rico,,,,,,,,,,Não é um Estado soberano,,,,,
Antigua and Barbuda,,,,,,,,,,Estado soberano,,,,,
