guid,country,country:de,country:es,country:fr,country:nb,country info,country info:de,country info:es,country info:fr,country info:nb,capital,capital:de,capital:es,capital:fr,capital:nb,capital info,capital info:de,capital info:es,capital info:fr,capital info:nb,capital hint,capital hint:de,capital hint:es,capital hint:fr,capital hint:nb,flag,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,map,tags
"e.t$Vi5,>f",South Africa,Südafrika,Sudáfrica,Afrique du Sud,Sør-Afrika,,,,,,"Pretoria, Cape Town, Bloemfontein","Pretoria, Kapstadt, Bloemfontein","Pretoria, Ciudad del Cabo, Bloemfontein","Pretoria, Le Cap, Bloemfontein","Pretoria, Cape Town, Bloemfontein","South Africa has no legally defined capital: the branches of government are split over three cities: Pretoria (executive), Cape Town (legislative) and Bloemfontein (judicial).","Die Regierung sitzt in Pretoria (Exekutive), das Parlament in Kapstadt (Legislative) und das Oberste Berufungsgericht in Bloemfontein (Judikative).","Sudáfrica no tiene capital oficial: los poderes del Estado están repartidos en tres ciudades: Pretoria (ejecutivo), Ciudad del Cabo (legislativo) y Bloemfontein (judicial).","L'Afrique du Sud n'a pas de capitale officielle. Les branches du gouvernement sont réparties sur trois villes : Pretoria (exécutive), Le Cap (législative) et Bloemfontein (judiciaire).","Sør-Afrika har ingen fastsatt hovedstad; makten er fordelt på tre byer: Pretoria (utøvende), Cape Town (lovgivende) og Bloemfontein (dømmende).",,,,,,"<img src=""ug-flag-south_africa.svg"" />",,,,,,"<img src=""ug-map-south_africa.png"" />","UG::Africa, UG::Sovereign_State"
k/u1:B%DJH,Sudan,Sudan,Sudán,Soudan,Sudan,,,,,,Khartoum,Khartum,Jartum,Khartoum,Khartoum,,,,,,,,,,,"<img src=""ug-flag-sudan.svg"" />","Palestine (red arrow, green stripe)","Palästina (roter Pfeil, grüner Streifen)","Palestina (triángulo rojo, banda verde)","Palestine (flèche rouge, bande verte)","Palestina (rød trekant, grønn stripe)","<img src=""ug-map-sudan.png"" />","UG::Africa, UG::Sovereign_State"
e5P*D#I{m{,Eswatini,Swasiland,Suazilandia,Eswatini,Eswatini,Known as Swaziland until 2018.,Seit 2018: Eswatini,Oficialmente Esuatini desde 2018.,Connu comme le Swaziland jusqu'en 2018.,Før 2018 kjent som Swaziland.,Mbabane,Mbabane,Mbabane,Mbabane,Mbabane,"While Mbabane is the official, executive capital, Lobamba is the traditional, spiritual and legislative capital.","Mbabane ist die offizielle Haupstadt, aber Lobamba ist die traditionelle Haupstadt und Sitz des nationalen Parlaments.","Aunque Mbabane es la capital oficial y ejecutiva, Lobamba es la capital tradicional, espiritual y legislativa.","Bien que Mbabane soit la capitale exécutive officielle, Lobamba est la capitale traditionnelle, spirituelle et légistlative.","Mbabane offisiell, utøvende hovedstad, mens Lobamba er tradisjonell, åndelig og lovgivende hovedstad.",,,,,,"<img src=""ug-flag-eswatini.svg"" />",,,,,,"<img src=""ug-map-eswatini.png"" />","UG::Africa, UG::Sovereign_State"
p:SPZ:e/*[,Tanzania,Tansania,Tanzania,Tanzanie,Tanzania,,,,,,Dodoma,Dodoma,Dodoma,Dodoma,Dodoma,"While Dodoma is the official capital, Dar es Salaam is the de facto seat of government.","Dodoma ist die offizielle Hauptstadt, aber Dar es Salaam ist der Regierungssitz.","Aunque Dodoma es la capital oficial, Dar es-Salam es la capital de facto.","Bien que Dodoma soit la capitale officielle, Dar es Salaam est le siège du gouvernement.","Dodoma er offisiell hovedstad, mens Dar es Salaam er regjeringssete.",,,,,,"<img src=""ug-flag-tanzania.svg"" />",,,,,,"<img src=""ug-map-tanzania.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
"t+v9b--,qs",Togo,Togo,Togo,Togo,Togo,,,,,,Lomé,Lomé,Lomé,Lomé,Lomé,,,,,,,,,,,"<img src=""ug-flag-togo.svg"" />",,,,,,"<img src=""ug-map-togo.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
fV`&p81%d(,Tunisia,Tunesien,Túnez,Tunisie,Tunisia,,,,,,Tunis,Tunis,Túnez,Tunis,Tunis,,,,,,,,,,,"<img src=""ug-flag-tunisia.svg"" />",,,,,,"<img src=""ug-map-tunisia.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
"gsS{jR,]|Q",Uganda,Uganda,Uganda,Ouganda,Uganda,,,,,,Kampala,Kampala,Kampala,Kampala,Kampala,,,,,,,,,,,"<img src=""ug-flag-uganda.svg"" />",,,,,,"<img src=""ug-map-uganda.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
cAlyc~G.y%,Sahrawi Arab Democratic Republic,Demokratische Arabische Republik Sahara (DARS),República Árabe Saharaui Democrática,République arabe sahraouie démocratique,Vest-Sahara,Partially recognised state claimed by Morocco.,"Teilweise anerkannter Staat, beansprucht von Marokko.",Estado parcialmente reconocido reclamado por Marruecos.,État partiellement reconnu revendiqué par le Maroc.,Delvis anerkjent stat som Marokko gjør krav på.,Laayoune,El Aaiún,El Aaiún,Laâyoune,El Aaiún,"While Laayoune, also known as El Aaiún, is the declared capital, Tifariti is the de facto seat of government.","El Aaiún ist die erklärte Hauptstadt, aber Tifariti ist der Regierungssitz.","Aunque El Aaiún es la capital proclamada, Tifariti es la capital de facto.","Bien que Laâyoune soit la capitale déclarée, Tifariti est le siège du gouvernement.",,,,,,,"<img src=""ug-flag-sahrawi_arab_democratic_republic.svg"" />",,,,,,"<img src=""ug-map-sahrawi_arab_democratic_republic.png"" />","UG::Africa, UG::Sovereign_State"
"fxAN),FAc$",Zambia,Sambia,Zambia,Zambie,Zambia,,,,,,Lusaka,Lusaka,Lusaka,Lusaka,Lusaka,,,,,,,,,,,"<img src=""ug-flag-zambia.svg"" />",,,,,,"<img src=""ug-map-zambia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
r<N4LAAnnB,Zimbabwe,Simbabwe,Zimbabue,Zimbabwe,Zimbabwe,,,,,,Harare,Harare,Harare,Harare,Harare,,,,,,,,,,,"<img src=""ug-flag-zimbabwe.svg"" />",,,,,,"<img src=""ug-map-zimbabwe.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
e?Xq9gy=@[,Canary Islands,Kanarischen Inseln,Canarias,Îles Canaries,Kanariøyene,Autonomous community of Spain.,Autonome Gemeinschaft von Spanien.,Comunidad autónoma de España.,Communauté autonome d'Espagne.,Selvstyrt område i Spania.,,,,,,,,,,,,,,,,,,,,,,"<img src=""ug-map-canary_islands.png"" />",UG::Africa
"m5j,b/y<EE",Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan,,,,,,Kabul,Kabul,Kabul,Kaboul,Kabul,,,,,,,,,,,"<img src=""ug-flag-afghanistan.png"" />",,,,,,"<img src=""ug-map-afghanistan.png"" />","UG::Asia, UG::Sovereign_State"
stRa/S(0$F,Bahrain,Bahrain,Baréin,Bahreïn,Bahrain,,,,,,Manama,Manama,Manama,Manama,Manama,,,,,,,,,,,"<img src=""ug-flag-bahrain.svg"" />","Qatar (wider, more serrated edges, maroon)","Katar (breiter, mehr kleinere Zacken, rotbraun)","Catar (más ancha, dientes más serrados, granate)","Qatar (séparation plus large et dentelée, pourpre/marron)","Qatar (bredere, flere tagger og jordbrun farge)","<img src=""ug-map-bahrain.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l+>Ki!j#v+,Bangladesh,Bangladesch,Bangladés,Bangladesh,Bangladesh,,,,,,Dhaka,Dhaka,Daca,Dacca,Dhaka,,,,,,,,,,,"<img src=""ug-flag-bangladesh.svg"" />",,,,,,"<img src=""ug-map-bangladesh.png"" />","UG::Asia, UG::Sovereign_State"
kQ:NIhJy~E,Bhutan,Bhutan,Bután,Bhoutan,Bhutan,,,,,,Thimphu,Thimphu,Timbu,Thimphou,Thimpu,,,,,,,,,,,"<img src=""ug-flag-bhutan.svg"" />",,,,,,"<img src=""ug-map-bhutan.png"" />","UG::Asia, UG::Sovereign_State"
sY>@9w~i^p,Brunei,Brunei,Brunéi,Brunei,Brunei,,,,,,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,,,,,,,,,,,"<img src=""ug-flag-brunei.svg"" />",,,,,,"<img src=""ug-map-brunei.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
mJH4kwPF.-,China,Volksrepublik China,China,Chine,Kina,,,,,Offisielt Folkerepublikken Kina.,Beijing,Peking,Pekín,Pékin,Beijing,,,,,,,,,,,"<img src=""ug-flag-china.svg"" />",,,,,,"<img src=""ug-map-china.png"" />","UG::Asia, UG::Sovereign_State"
bW)ch:vs1P,Cambodia,Kambodscha,Camboya,Cambodge,Kambodsja,,,,,,Phnom Penh,Phnom Penh,Nom Pen,Phnom Penh,Phnom Penh,,,,,,,,,,,"<img src=""ug-flag-cambodia.svg"" />",,,,,,"<img src=""ug-map-cambodia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
sx|l+io`B@,Indonesia,Indonesien,Indonesia,Indonésie,Indonesia,,,,,,Jakarta,Jakarta,Yakarta,Jakarta,Jakarta,,,,,,,,,,,"<img src=""ug-flag-indonesia.svg"" />","Monaco (narrower, darker red), Poland (red and white flipped, darker red)","Monaco (schmaler, dunkleres rot), Polen (Rot und Weiß vertauscht, dunkleres rot)","Mónaco (más estrecha, rojo más oscuro), Polonia (rojo y blanco intercambiados, rojo más oscuro)","Monaco (plus étroit, rouge plus foncé), Pologne (rouge et blanc inversés, rouge plus foncé)","Monaco (smalere, mørkere rød), Polen (rødt og hvitt byttet, mørkere rød)","<img src=""ug-map-indonesia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
q2#Yv[O0:|,India,Indien,India,Inde,India,,,,,,New Delhi,Neu-Delhi,Nueva Delhi,New Delhi,New Delhi,,,,,,,,,,,"<img src=""ug-flag-india.svg"" />",,,,,,"<img src=""ug-map-india.png"" />","UG::Asia, UG::Sovereign_State"
lpbD0St&OU,Hong Kong,Hongkong,Hong Kong,Hong Kong,Hongkong,Special Administrative Region of China.,Sonderverwaltungszone der China.,Región administrativa especial de China.,Région administrative spéciale de Chine.,Også kjent som Hong Kong. Spesiell administrativ region i Kina.,,,,,,,,,,,,,,,,"<img src=""ug-flag-hong_kong.svg"" />",,,,,,"<img src=""ug-map-hong_kong.png"" />",UG::Asia
mbz=7n[0v9,Iran,Iran,Irán,Iran,Iran,,,,,,Tehran,Teheran,Teherán,Téhéran,Teheran,,,,,,,,,,,"<img src=""ug-flag-iran.svg"" />",,,,,,"<img src=""ug-map-iran.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
ijP>aJBT!9,Israel,Israel,Israel,Israël,Israel,,,,,,Jerusalem,Jerusalem,Jerusalén,Jérusalem,Jerusalem,,,,,,,,,,,"<img src=""ug-flag-israel.svg"" />",,,,,,"<img src=""ug-map-israel.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
jI9P-f6r3M,Iraq,Irak,Irak,Irak,Irak,,,,,,Baghdad,Bagdad,Bagdad,Bagdad,Bagdad,,,,,,,,,,,"<img src=""ug-flag-iraq.svg"" />","Egypt (emblem instead of text), Syria (two stars instead of text), Yemen (no text)","Ägypten (Emblem statt Text), Syrien (zwei Sterne statt Text), Jemen (kein Text)","Egipto (escudo en lugar del texto), Siria (dos estrellas en lugar del texto), Yemen (sin texto)","Égypte (emblème à la place du texte), Syrie (deux étoiles à la place du texte), Yémen (pas de texte)","Jemen (blank midstripe), Egypt (emblem), Syria (to stjerner)","<img src=""ug-map-iraq.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
h?a*UKfT_M,South Korea,Südkorea,Corea del Sur,Corée du Sud,Sør-Korea,,,,,,Seoul,Seoul,Seúl,Séoul,Seoul,,,,,,,,,,,"<img src=""ug-flag-south_korea.svg"" />",,,,,,"<img src=""ug-map-south_korea.png"" />","UG::Asia, UG::Sovereign_State"
r6BV%|..*5,North Korea,Nordkorea,Corea del Norte,Corée du Nord,Nord-Korea,,,,,,Pyongyang,Pjöngjang,Pionyang,Pyongyang,Pyongyang,,,,,,,,,,,"<img src=""ug-flag-north_korea.svg"" />",,,,,,"<img src=""ug-map-north_korea.png"" />","UG::Asia, UG::Sovereign_State"
i)]+09JUR&,Jordan,Jordanien,Jordania,Jordanie,Jordan,,,,,,Amman,Amman,Amán,Amman,Amman,,,,,,,,,,,"<img src=""ug-flag-jordan.svg"" />",,,,,,"<img src=""ug-map-jordan.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l}[BG9.nQS,Japan,Japan,Japón,Japon,Japan,,,,,,Tokyo,Tokio,Tokio,Tokyo,Tokyo,,,,,,,,,,,"<img src=""ug-flag-japan.svg"" />",,,,,,"<img src=""ug-map-japan.png"" />","UG::Asia, UG::Sovereign_State"
mtd;>7T|g>,Lebanon,Libanon,Líbano,Liban,Libanon,,,,,,Beirut,Beirut,Beirut,Beyrouth,Beirut,,,,,,,,,,,"<img src=""ug-flag-lebanon.svg"" />",,,,,,"<img src=""ug-map-lebanon.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
iW>m(L/~c=,Laos,Laos,Laos,Laos,Laos,,,,,,Vientiane,Vientiane,Vientián,Vientiane,Vientiane,,,,,,,,,,,"<img src=""ug-flag-laos.svg"" />",,,,,,"<img src=""ug-map-laos.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
pkj3RPBUrF,Kyrgyzstan,Kirgisistan,Kirguistán,Kirghizistan,Kirgisistan,,,,,,Bishkek,Bischkek,Biskek,Bichkek,Bisjkek,,,,,,,,,,,"<img src=""ug-flag-kyrgyzstan.svg"" />",,,,,,"<img src=""ug-map-kyrgyzstan.png"" />","UG::Asia, UG::Sovereign_State"
euW0jm=wfR,Kuwait,Kuwait,Kuwait,Koweït,Kuwait,,,,,,Kuwait City,Kuwait-Stadt,Kuwait,Koweït,Kuwait by,,,,,,,,,,,"<img src=""ug-flag-kuwait.svg"" />",,,,,,"<img src=""ug-map-kuwait.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l*j*EE:!Y?,Myanmar,Myanmar,Birmania,Birmanie,Myanmar,Also known as Burma.,Auch Birma oder Burma.,También conocida como Myanmar.,Aussi connue comme le Myanmar.,Også kalt Burma.,Naypyidaw,Naypyidaw,Naipyidó,Naypyidaw,Naypyidaw,,,,,Hovedstad flyttet til Naypyidaw (Nay Pyi Taw) fra Yangon (tidl. Rangoon) i 2005,,,,,,"<img src=""ug-flag-myanmar.svg"" />",,,,,,"<img src=""ug-map-myanmar.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
d3c`&/1Y^D,Mongolia,Mongolei,Mongolia,Mongolie,Mongolia,,,,,,Ulaanbaatar,Ulaanbaatar,Ulán Bator,Oulan-Bator,Ulaanbaatar,,,,,Også kjent som Ulan Bator.,,,,,,"<img src=""ug-flag-mongolia.svg"" />",,,,,,"<img src=""ug-map-mongolia.png"" />","UG::Asia, UG::Sovereign_State"
hXNTVF<:SH,Maldives,Malediven,Maldivas,Maldives,Maldivene,,,,,,Malé,Malé,Malé,Malé,Malé,,,,,,,,,,,"<img src=""ug-flag-maldives.svg"" />",,,,,,"<img src=""ug-map-maldives.png"" />","UG::Asia, UG::Sovereign_State"
"mk20`,N=`=",Malaysia,Malaysia,Malasia,Malaisie,Malaysia,,,,,,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,,,,,,,,,,,"<img src=""ug-flag-malaysia.svg"" />",,,,,,"<img src=""ug-map-malaysia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
eALZe^HCHq,Oman,Oman,Omán,Oman,Oman,,,,,,Muscat,Maskat,Mascate,Mascate,Muscat,,,,,,,,,,,"<img src=""ug-flag-oman.svg"" />",,,,,,"<img src=""ug-map-oman.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l3Ly8PBxt(,Nepal,Nepal,Nepal,Népal,Nepal,,,,,,Kathmandu,Kathmandu,Katmandú,Katmandou,Katmandu,,,,,,,,,,,"<img src=""ug-flag-nepal-nobox.svg"" />",,,,,,"<img src=""ug-map-nepal.png"" />","UG::Asia, UG::Sovereign_State"
g<[f89~U)A,Palestine,Palästina,Palestina,Palestine,Palestina,,,,,,Ramallah,Ramallah,Ramala,Ramallah,Ramallah,,,,,"Jerusalem er proklamert hovedstad, mens Ramallah er administrativ hovedstad",,,,,,"<img src=""ug-flag-palestine.svg"" />","Sudan (green arrow, red stripe)","Sudan (grüner Pfeil, roter Streifen)","Sudán (triángulo verde, banda roja)","Soudan (flèche verte, bande rouge)","Sudan (grønn trekant, rød stripe)","<img src=""ug-map-palestine.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
iIS#Nw]tr],Pakistan,Pakistan,Pakistán,Pakistan,Pakistan,,,,,,Islamabad,Islamabad,Islamabad,Islamabad,Islamabad,,,,,,,,,,,"<img src=""ug-flag-pakistan.svg"" />",,,,,,"<img src=""ug-map-pakistan.png"" />","UG::Asia, UG::Sovereign_State"
"m{oM,jr>C#",Qatar,Katar,Catar,Qatar,Qatar,,,,,,Doha,Doha,Doha,Doha,Doha,,,,,,,,,,,"<img src=""ug-flag-qatar.svg"" />","Bahrain (narrower, fewer serrated edges, red)","Bahrain (enger, weniger Zacken, rot)","Baréin (más estrecha, menos dientes de sierra, roja)","Bahreïn (séparation plus étroite et moins dentelée, rouge)","Bahrain (smalere, færre tagger, rødt)","<img src=""ug-map-qatar.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
ln^3p)j3b.,Saudi Arabia,Saudi-Arabien,Arabia Saudita,Arabie saoudite,Saudi-Arabia,,,,,,Riyadh,Riad,Riad,Riyad,Riyadh,,,,,,,,,,,"<img src=""ug-flag-saudi_arabia.svg"" />",,,,,,"<img src=""ug-map-saudi_arabia.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
cL?8!xP#Wj,Singapore,Singapur,Singapur,Singapour,Singapore,,,,,,Singapore,Singapur,Singapur,Singapour,Singapore,,,,,,,,,,,"<img src=""ug-flag-singapore.svg"" />",,,,,,"<img src=""ug-map-singapore.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
e=.VHQ9E+M,Syria,Syrien,Siria,Syrie,Syria,,,,,,Damascus,Damaskus,Damasco,Damas,Damaskus,,,,,,,,,,,"<img src=""ug-flag-syria.svg"" />","Egypt (emblem instead of stars), Iraq (text instead of stars), Yemen (no stars)","Ägypten (Emblem statt Sterne), Irak (Text statt Sterne), Jemen (keine Sterne)","Egipto (escudo en lugar de las estrellas), Irak (texto en lugar de las estrellas), Yemen (sin estrellas)","Égypte (emblème à la place des étoiles), Irak (texte à la place des étoiles), Yémen (pas d'étoiles)","Jemen (blank midstripe), Egypt (emblem), Irak (tekst)","<img src=""ug-map-syria.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
m[96fa+HDS,Taiwan,Taiwan,Taiwán,Taïwan,Taiwan,Partially recognised state claimed by China.,"Völkerrechtliche Stellung umstritten, von China beansprucht.",Estado parcialmente reconocido reclamado por China.,État partiellement reconnu revendiqué par la Chine.,Offisielt Republikken Kina. Folkerepublikken Kina gjør også krav på områdene.,Taipei,Taipeh,Taipéi,Taipei,Taipei,,,,,,,,,,,"<img src=""ug-flag-taiwan.svg"" />",,,,,,"<img src=""ug-map-taiwan.png"" />","UG::Asia, UG::Sovereign_State"
g9v~y/;=z(,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,,,,,,Sri Jayawardenepura Kotte,Sri Jayewardenepura Kotte,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte,Colombo,"Colombo is often referred to as the capital but Sri Jayawardenepura Kotte, a suburb of Colombo, is the official, legislative capital.","Colombo wird oft als die Hauptstadt bezeichnet, aber Sri Jayawardenepura Kotte, ein Vorort von Colombo, ist die offizielle, legislative Hauptstadt.","Colombo es a menudo referida como la capital, pero Sri Jayawardenapura Kotte, un barrio de Colombo, es la capital oficial y legislativa.","On fait souvent référence à Colombo comme capitale, mais Sri Jayawardenapura Kotte, une ville de la banlieue de Colombo, est la capitale législative officielle.",Regjeringen har sete i Colombo. Sri Jayawardenepura Kotte (kalt Kotte) er en forstad til Colombo der nasjonalforsamlingen har sete. Kotte er altså lovgivende hovedstad.,,,,,,"<img src=""ug-flag-sri_lanka.svg"" />",,,,,,"<img src=""ug-map-sri_lanka.png"" />","UG::Asia, UG::Sovereign_State"
g~%pF`(x{u,Tajikistan,Tadschikistan,Tayikistán,Tadjikistan,Tadsjikistan,,,,,,Dushanbe,Duschanbe,Dusambé,Douchanbé,Dusjanbe,,,,,,,,,,,"<img src=""ug-flag-tajikistan.svg"" />",,,,,,"<img src=""ug-map-tajikistan.png"" />","UG::Asia, UG::Sovereign_State"
"hE5j*e,Q?[",Thailand,Thailand,Tailandia,Thaïlande,Thailand,,,,,,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok,,,,,,,,,,,"<img src=""ug-flag-thailand.svg"" />",,,,,,"<img src=""ug-map-thailand.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
fRSM{K+;[w,East Timor,Osttimor,Timor Oriental,Timor oriental,Øst-Timor,Also known as Timor-Leste.,Auch Timor-Leste.,,Aussi connu comme le Timor-Leste.,,Dili,Dili,Dili,Dili,Dili,,,,,,,,,,,"<img src=""ug-flag-east_timor.svg"" />",,,,,,"<img src=""ug-map-east_timor.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
o~}KVA:VbI,United Arab Emirates,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis,De forente arabiske emirater,,,,,,Abu Dhabi,Abu Dhabi,Abu Dabi,Abou Dabi,Abu Dhabi,,,,,,,,,,,"<img src=""ug-flag-united_arab_emirates.svg"" />",,,,,,"<img src=""ug-map-united_arab_emirates.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
u-`cspdp)D,Turkmenistan,Turkmenistan,Turkmenistán,Turkménistan,Turkmenistan,,,,,,Ashgabat,Aşgabat,Asjabad,Achgabat,Asjkhabad,,,,,Også kjent som Asjgabat.,,,,,,"<img src=""ug-flag-turkmenistan.svg"" />",,,,,,"<img src=""ug-map-turkmenistan.png"" />","UG::Asia, UG::Sovereign_State"
"e42BpV,P}C",Yemen,Jemen,Yemen,Yémen,Jemen,,,,,,Sana'a,Sanaa,Saná,Sanaa,Sana,,,,,,,,,,,"<img src=""ug-flag-yemen.svg"" />","Egypt (with emblem), Iraq (with text), Syria (with two stars)","Ägypten (mit Emblem), Irak (mit Text), Syrien (mit zwei Sternen)","Egipto (con escudo), Irak (con texto), Siria (con dos estrellas)","Égypte (avec un emblème), Irak (avec du texte), Syrie (avec deux étoiles)","Egypt (emblem), Syria (to stjerner), Irak (tekst)","<img src=""ug-map-yemen.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
pD<Pd$Ag@J,Vietnam,Vietnam,Vietnam,Viêt Nam,Vietnam,,,,,,Hanoi,Hanoi,Hanói,Hanoï,Hanoi,,,,,,,,,,,"<img src=""ug-flag-vietnam.svg"" />",,,,,,"<img src=""ug-map-vietnam.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
mbGXc0y3Pe,Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan,Usbekistan,,,,,,Tashkent,Taschkent,Taskent,Tachkent,Tasjkent,,,,,,,,,,,"<img src=""ug-flag-uzbekistan.svg"" />",,,,,,"<img src=""ug-map-uzbekistan.png"" />","UG::Asia, UG::Sovereign_State"
gB|K:+r?1V,Fiji,Fidschi,Fiyi,Fidji,Fiji,,,,,,Suva,Suva,Suva,Suva,Suva,,,,,,,,,,,"<img src=""ug-flag-fiji.svg"" />",,,,,,"<img src=""ug-map-fiji.png"" />","UG::Oceania, UG::Sovereign_State"
lhWI;$JC9(,Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Papua Ny-Guinea,,,,,,Port Moresby,Port Moresby,Puerto Moresby,Port Moresby,Port Moresby,,,,,,,,,,,"<img src=""ug-flag-papua_new_guinea.svg"" />",,,,,,"<img src=""ug-map-papua_new_guinea.png"" />","UG::Oceania, UG::Sovereign_State"
k0{O[6l]bH,Australia,Australien,Australia,Australie,Australia,,,,,,Canberra,Canberra,Canberra,Canberra,Canberra,,,,,,,,,,,"<img src=""ug-flag-australia.svg"" />","New Zealand (red stars, two fewer stars)","Neuseeland (rote Sterne, zwei Sterne weniger)","Nueva Zelanda (estrellas rojas, dos estrellas menos)","Nouvelle-Zélande (étoiles rouges, deux étoiles de moins)",New Zealand (røde stjerner),"<img src=""ug-map-australia.png"" />","UG::Oceania, UG::Sovereign_State"
"r>g<|,FWi%",Solomon Islands,Salomonen,Islas Salomón,Îles Salomon,Salomonøyene,,Auch Salomoninseln.,,,,Honiara,Honiara,Honiara,Honiara,Honiara,,,,,,,,,,,"<img src=""ug-flag-solomon_islands.svg"" />",,,,,,"<img src=""ug-map-solomon_islands.png"" />","UG::Oceania, UG::Sovereign_State"
n&>e`2FO/S,Argentina,Argentinien,Argentina,Argentine,Argentina,,,,,,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,,,,,,,,,,,"<img src=""ug-flag-argentina.svg"" />",,,,,,"<img src=""ug-map-argentina.png"" />","UG::South_America, UG::Sovereign_State"
khB~(m^@Z5,Bolivia,Bolivien,Bolivia,Bolivie,Bolivia,,,,,,Sucre,Sucre,Sucre,Sucre,Sucre,"While Sucre is the constitutional capital, La Paz is the seat of government.","Sucre ist die offizielle Hauptstadt, aber La Paz ist der Regierungssitz.","Aunque Sucre es la capital constitucional, La Paz es sede de gobierno.","Bien que Sucre soit la capitale constitutionnelle, La Paz est le siège du gouvernement.","Sucre er offisiell hovedstat, mens La Paz er regjeringssete.",,,,,,"<img src=""ug-flag-bolivia-blur.png"" /><img src=""ug-flag-bolivia.png"" />",Ghana (star instead of coat of arms),Ghana (Stern anstatt Wappen),Ghana (estrella en lugar del escudo),Ghana (étoile à la place du blason),Ghana (stjerne i stedet for våpenskjold),"<img src=""ug-map-bolivia.png"" />","UG::South_America, UG::Sovereign_State"
spKoFRM4if,Brazil,Brasilien,Brasil,Brésil,Brasil,,,,,,Brasília,Brasília,Brasilia,Brasilia,Brasilia,,,,,,,,,,,"<img src=""ug-flag-brazil.svg"" />",,,,,,"<img src=""ug-map-brazil.png"" />","UG::South_America, UG::Sovereign_State"
q8][)Ri}=q,Chile,Chile,Chile,Chili,Chile,,,,,,Santiago,Santiago de Chile,Santiago de Chile,Santiago,Santiago (de Chile),,,,,,,,,,,"<img src=""ug-flag-chile.svg"" />",,,,,,"<img src=""ug-map-chile.png"" />","UG::South_America, UG::Sovereign_State"
hoHandbYAy,Colombia,Kolumbien,Colombia,Colombie,Colombia,,,,,,Bogotá,Bogotá,Bogotá,Bogota,(Santa Fe de) Bogotá,,,,,,,,,,,"<img src=""ug-flag-colombia.svg"" />",Ecuador (with coat of arms),Ecuador (mit Wappen),Ecuador (con escudo),Équateur (avec blason),Ecuador (med våpenskjold),"<img src=""ug-map-colombia.png"" />","UG::South_America, UG::Sovereign_State"
