guid,country,country:de,country:es,country:fr,country:nb,country info,country info:de,country info:es,country info:fr,country info:nb,capital,capital:de,capital:es,capital:fr,capital:nb,capital info,capital info:de,capital info:es,capital info:fr,capital info:nb,capital hint,capital hint:de,capital hint:es,capital hint:fr,capital hint:nb,flag,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,map,tags
g-]bb&[.E!,Slovenia,Slowenien,Eslovenia,Slovénie,Slovenia,,,,,,Ljubljana,Ljubljana,Liubliana,Ljubljana,Ljubljana,,,,,,,,,,,"<img src=""ug-flag-slovenia.svg"" />",,,,,,"<img src=""ug-map-slovenia.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
f21=-A~W;~,Spain,Spanien,España,Espagne,Spania,,,,,,Madrid,Madrid,Madrid,Madrid,Madrid,,,,,,,,,,,"<img src=""ug-flag-spain.svg"" />",,,,,,"<img src=""ug-map-spain.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
sT5=H|@KU|,Sweden,Schweden,Suecia,Suède,Sverige,,,,,,Stockholm,Stockholm,Estocolmo,Stockholm,Stockholm,,,,,,,,,,,"<img src=""ug-flag-sweden.svg"" />",,,,,,"<img src=""ug-map-sweden.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
lU@C3<C8Wk,Switzerland,Schweiz,Suiza,Suisse,Sveits,,,,,,Bern,Bern,Berna,Berne,Bern,Switzerland has no official capital; Bern is the de facto capital.,Die Schweiz hat keine offizielle Hauptstadt; Bern ist der Regierungssitz.,Suiza no tiene capital oficial; Berna es la capital de facto.,La Suisse n'a pas de capitale officielle ; Berne est la capitale de fait.,Sveits har ingen offisiell hovedstad. Bern er regjeringssete.,,,,,,"<img src=""ug-flag-switzerland.svg"" />",,,,,,"<img src=""ug-map-switzerland.png"" />","UG::Europe, UG::Sovereign_State"
jDA-V?/hVj,Turkey,Türkei,Turquía,Turquie,Tyrkia,,,,,,Ankara,Ankara,Ankara,Ankara,Ankara,,,,,,,,,,,"<img src=""ug-flag-turkey.svg"" />",,,,,,"<img src=""ug-map-turkey.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
h_9=mkZXAH,Ukraine,Ukraine,Ucrania,Ukraine,Ukraina,,,,,,Kyiv,Kiew,Kiev,Kiev,Kiev,Also known as Kiev,,,,Også kjent som Kyiv.,,,,,,"<img src=""ug-flag-ukraine.svg"" />",,,,,,"<img src=""ug-map-ukraine.png"" />","UG::Europe, UG::Sovereign_State"
mk1VltJl<],Vatican City,Vatikanstadt,Ciudad del Vaticano,Vatican,Vatikanstaten,,,,,,Vatican City,Vatikanstadt,Ciudad del Vaticano,Vatican,Vatikanstaten,,,,,,,,,,,"<img src=""ug-flag-vatican_city.svg"" />",,,,,,"<img src=""ug-map-vatican_city.png"" />","UG::Europe, UG::Sovereign_State"
"c(,2{yXI#E",Armenia,Armenien,Armenia,Arménie,Armenia,,,,,,Yerevan,Jerewan,Ereván,Erevan,Jerevan,,,,,,,,,,,"<img src=""ug-flag-armenia.svg"" />",,,,,,"<img src=""ug-map-armenia.png"" />","UG::Europe, UG::Sovereign_State"
kkbYQXw5b;,Cyprus,Republik Zypern,Chipre,Chypre,Kypros,,,,,,Nicosia,Nikosia,Nicosia,Nicosie,Nikosia,,,,,,,,,,,"<img src=""ug-flag-cyprus.svg"" />",,,,,,"<img src=""ug-map-cyprus.png"" />","UG::Asia, UG::European_Union, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
ia8as9sCY|,Kazakhstan,Kasachstan,Kazajistán,Kazakhstan,Kasakhstan,,,,,,Nur-Sultan,Nur-Sultan,Nur-sultán,Noursoultan,Astana,Known as Astana until March 2019.,Auch Nur-Sultan. Früher Astana.,Conocida como Astaná hasta marzo de 2019.,Connue sous le nom d'Astana jusqu'en mai 2019.,"Omdøpt til Nur-Sultan i mars 2019, men Utenriksdepartementet i Norge bruker per september 2019 det gamle navnet.",,,,,,"<img src=""ug-flag-kazakhstan.svg"" />",,,,,,"<img src=""ug-map-kazakhstan.png"" />","UG::Asia, UG::Sovereign_State"
j%*8gN)q>d,Egypt,Ägypten,Egipto,Égypte,Egypt,,,,,,Cairo,Kairo,El Cairo,Le Caire,Kairo,,,,,,,,,,,"<img src=""ug-flag-egypt.svg"" />","Iraq (text instead of emblem), Syria (two stars instead of emblem), Yemen (no emblem)","Irak (Text anstatt Emblem), Syrien (zwei Sterne anstelle Emblem), Jemen (kein Emblem)","Irak (texto en lugar de escudo), Siria (dos estrellas en lugar de escudo), Yemen (sin escudo)","Irak (texte à la place de l'emblème), Syrie (deux étoiles à la place de l'emblème), Yémen (pas d'emblème)","Jemen (blank midstripe), Irak (tekst), Syria (to stjerner)","<img src=""ug-map-egypt.png"" />","UG::Africa, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
bd~Ght5tLR,Algeria,Algerien,Argelia,Algérie,Algerie,,,,,,Algiers,Algier,Argel,Alger,Alger,,,,,,,,,,,"<img src=""ug-flag-algeria.svg"" />",,,,,,"<img src=""ug-map-algeria.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
onMKID2d;D,Angola,Angola,Angola,Angola,Angola,,,,,,Luanda,Luanda,Luanda,Luanda,Luanda,,,,,,,,,,,"<img src=""ug-flag-angola.svg"" />",,,,,,"<img src=""ug-map-angola.png"" />","UG::Africa, UG::Sovereign_State"
"q8fF$4,c6_",Benin,Benin,Benín,Bénin,Benin,,,,,,Porto-Novo,Porto-Novo,Porto Novo,Porto-Novo,Porto-Novo,"While Porto-Novo is the official capital, Cotonou is the de facto seat of government.","Porto-Novo ist die offizielle Hauptstadt, aber Cotonou ist der Regierungssitz.","Aunque Porto Novo es la capital oficial, Cotonú es la capital de facto.","Bien que Porto-Novo soit la capitale officielle, Cotonou est le siège du gouvernement.","Porto-Novo er offisiell hovedstad, mens Cotonou er de facto regjeringssete.",,,,,,"<img src=""ug-flag-benin.svg"" />",,,,,,"<img src=""ug-map-benin.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
upiX0g1quR,Botswana,Botswana,Botsuana,Botswana,Botswana,,,,,,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone,,,,,,,,,,,"<img src=""ug-flag-botswana.svg"" />",,,,,,"<img src=""ug-map-botswana.png"" />","UG::Africa, UG::Sovereign_State"
n:7&>YT5A=,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,,,,,,Ouagadougou,Ouagadougou (Wagadugu),Uagadugú,Ouagadougou,Ouagadougou,,,,,,,,,,,"<img src=""ug-flag-burkina_faso.svg"" />",,,,,,"<img src=""ug-map-burkina_faso.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
j2IQ=f=w3@,Cameroon,Kamerun,Camerún,Cameroun,Kamerun,,,,,,Yaoundé,Yaoundé,Yaundé,Yaoundé,Yaoundé,,,,,,,,,,,"<img src=""ug-flag-cameroon.svg"" />","Senegal (green/yellow/red, green star)","Senegal (Grün/Gelb/Rot, grüner Stern)","Senegal (verde/amarillo/rojo, estrella verde)","Sénégal (vert/jaune/rouge, étoile verte)","Senegal (grønt, gult og rødt samt grønn stjerne)","<img src=""ug-map-cameroon.png"" />","UG::Africa, UG::Sovereign_State"
EWXNc<g5),Burundi,Burundi,Burundi,Burundi,Burundi,,,,,,Gitega,Gitega,Gitega,Gitega,Gitega,Official capital was moved from Bujumbura to Gitega in 2019.,Die offizielle Hauptstadt wurde 2019 von Bujumbura nach Gitega verlegt.,La capital oficial se cambió de Buyumbura a Gitega en 2019.,La capitale officielle a été déplacée de Bujumbura à Gitega en février 2019.,Hovedstad flyttet i februar 2019. Bujumbura er fortsatt regjeringssete og økonomisk hovedstad.,,,,,,"<img src=""ug-flag-burundi.svg"" />",,,,,,"<img src=""ug-map-burundi.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
gFOojQO(MH,Cape Verde,Kap Verde,Cabo Verde,Cap-Vert,Kapp Verde,Also known as Cabo Verde.,Auch Cabo Verde.,,,Offisielt Republikken Cabo Verde.,Praia,Praia,Praia,Praia,Praia,,,,,,,,,,,"<img src=""ug-flag-cape_verde.svg"" />",,,,,,"<img src=""ug-map-cape_verde.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
gePC:Xt_nW,São Tomé and Príncipe,São Tomé und Príncipe,Santo Tomé y Príncipe,Sao Tomé-et-Principe,São Tomé og Príncipe,,,,,,São Tomé,São Tomé,Santo Tomé,São Tomé,São Tomé,,,,,,,,,,,"<img src=""ug-flag-sao_tome_and_principe.svg"" />",,,,,,"<img src=""ug-map-sao_tome_and_principe.png"" />","UG::Africa, UG::Sovereign_State"
vNiD6A.v#s,Central African Republic,Zentralafrikanische Republik,República Centroafricana,République centrafricaine,Den sentralafrikanske republikk,,,,,,Bangui,Bangui,Bangui,Bangui,Bangui,,,,,,,,,,,"<img src=""ug-flag-central_african_republic.svg"" />",,,,,,"<img src=""ug-map-central_african_republic.png"" />","UG::Africa, UG::Sovereign_State"
?n!)c/h=Q,Chad,Tschad,Chad,Tchad,Tsjad,,,,,,N'Djamena,N’Djamena,Yamena,N'Djaména,Ndjamena,,,,,,,,,,,"<img src=""ug-flag-chad.svg"" />",Romania (slightly lighter blue),Rumänien (etwas helleres Blau),Rumanía (azul ligeramente más claro),Roumanie (bleu légèrement plus clair),Romania (noe lysere blå),"<img src=""ug-map-chad.png"" />","UG::Africa, UG::Sovereign_State"
gYIoR`|AxW,Equatorial Guinea,Äquatorialguinea,Guinea Ecuatorial,Guinée équatoriale,Ekvatorial-Guinea,,,,,,Malabo,Malabo,Malabo,Malabo,Malabo,,,,,,,,,,,"<img src=""ug-flag-equatorial_guinea.svg"" />",,,,,,"<img src=""ug-map-equatorial_guinea.png"" />","UG::Africa, UG::Sovereign_State"
j<egqG@)EL,Kenya,Kenia,Kenia,Kenya,Kenya,,,,,,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,,,,,,,,,,,"<img src=""ug-flag-kenya.svg"" />",,,,,,"<img src=""ug-map-kenya.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
t`cagaWApo,Comoros,Komoren,Comoras,Comores,Komorene,,,,,,Moroni,Moroni,Moroni,Moroni,Moroni,,,,,,,,,,,"<img src=""ug-flag-comoros.svg"" />",,,,,,"<img src=""ug-map-comoros.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
jN^Vc%9OQ5,Ivory Coast,Elfenbeinküste,Costa de Marfil,Côte d'Ivoire,Elfenbenskysten,Officially Côte d'Ivoire.,Offiziell Côte d'Ivoire.,Oficialmente Côte d'Ivoire.,,,Yamoussoukro,Yamoussoukro,Yamusukro,Yamoussoukro,Yamoussoukro,"While Yamoussoukro is the official capital, Abidjan is the de facto seat of government.","Yamoussoukro ist die offizielle Hauptstadt, aber Abidjan ist der Regierungssitz.","Aunque Yamusukro es la capital oficial, Abiyán es la capital de facto.","Bien que Yamoussoukro soit la capitale officielle, Abidjan est le siège du gouvernement.","Yamoussoukro er offisiell hovedstad, mens Abidjan er de facto regjeringssete.",,,,,,"<img src=""ug-flag-ivory_coast.svg"" />","Ireland (orange and green flipped, wider)","Irland (Orange und Grün vertauscht, breiter)","Irlanda (naranja y verde intercambiados, más ancha)","Irlande (orange et vert inversés, plus large)","Ireland (byttet plass på oransje og grønt, bredere)","<img src=""ug-map-ivory_coast.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
o3VS!KWb/@,Democratic Republic of the Congo,Demokratische Republik Kongo,República Democrática del Congo,République démocratique du Congo,Kongo,Formerly Zaire.,Früher Zaire.,Anteriormente Zaire.,Anciennement le Zaïre.,Offisielt Den demokratiske republikken Kongo. Tidligere Zaïre.,Kinshasa,Kinshasa,Kinsasa,Kinshasa,Kinshasa,,,,,,,,,,,"<img src=""ug-flag-democratic_republic_of_the_congo.svg"" />",,,,,,"<img src=""ug-map-democratic_republic_of_the_congo.png"" />","UG::Africa, UG::Sovereign_State"
iR;U<J:CJJ,Djibouti,Dschibuti,Yibuti,Djibouti,Djibouti,,,,,,Djibouti,Dschibuti,Yibuti,Djibouti,Djibouti,,,,,,,,,,,"<img src=""ug-flag-djibouti.svg"" />",,,,,,"<img src=""ug-map-djibouti.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
i^J8&$(1]|,Guinea-Bissau,Guinea-Bissau,Guinea-Bisáu,Guinée-Bissau,Guinea-Bissau,,,,,,Bissau,Bissau,Bisáu,Bissau,Bissau,,,,,,,,,,,"<img src=""ug-flag-guinea-bissau.svg"" />",,,,,,"<img src=""ug-map-guinea-bissau.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
pS>DrFhd%u,Eritrea,Eritrea,Eritrea,Érythrée,Eritrea,,,,,,Asmara,Asmara,Asmara,Asmara,Asmara,,,,,,,,,,,"<img src=""ug-flag-eritrea.svg"" />",,,,,,"<img src=""ug-map-eritrea.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
t|h3|;E4g{,Ethiopia,Äthiopien,Etiopía,Éthiopie,Etiopia,,,,,,Addis Ababa,Addis Abeba,Adís Abeba,Addis-Abeba,Addis Abeba,,,,,,,,,,,"<img src=""ug-flag-ethiopia.svg"" />",,,,,,"<img src=""ug-map-ethiopia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
p.yv>BQ470,Gabon,Gabun,Gabón,Gabon,Gabon,,,,,,Libreville,Libreville,Libreville,Libreville,Libreville,,,,,,,,,,,"<img src=""ug-flag-gabon.svg"" />",,,,,,"<img src=""ug-map-gabon.png"" />","UG::Africa, UG::Sovereign_State"
f#4-L[mp5*,The Gambia,Gambia,Gambia,Gambie,Gambia,,,,,,Banjul,Banjul,Banjul,Banjul,Banjul,,,,,,,,,,,"<img src=""ug-flag-the_gambia.svg"" />",,,,,,"<img src=""ug-map-the_gambia.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
oNpApS<AoJ,Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,,,,,,Maseru,Maseru,Maseru,Maseru,Maseru,,,,,,,,,,,"<img src=""ug-flag-lesotho.svg"" />",,,,,,"<img src=""ug-map-lesotho.png"" />","UG::Africa, UG::Sovereign_State"
"nsS59c`VL,",Liberia,Liberia,Liberia,Liberia,Liberia,,,,,,Monrovia,Monrovia,Monrovia,Monrovia,Monrovia,,,,,,,,,,,"<img src=""ug-flag-liberia.svg"" />",,,,,,"<img src=""ug-map-liberia.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
m{noqE29%I,Madagascar,Madagaskar,Madagascar,Madagascar,Madagaskar,,,,,,Antananarivo,Antananarivo,Antananarivo,Antananarivo,Antananarivo,,,,,,,,,,,"<img src=""ug-flag-madagascar.svg"" />",,,,,,"<img src=""ug-map-madagascar.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
sSW/?WMy17,Malawi,Malawi,Malaui,Malawi,Malawi,,,,,,Lilongwe,Lilongwe,Lilongüe,Lilongwe,Lilongwe,,,,,,,,,,,"<img src=""ug-flag-malawi.svg"" />",,,,,,"<img src=""ug-map-malawi.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
d-q4J~CNW_,Mali,Mali,Malí,Mali,Mali,,,,,,Bamako,Bamako,Bamako,Bamako,Bamako,,,,,,,,,,,"<img src=""ug-flag-mali.svg"" />","Guinea (green and red flipped, slightly darker green)","Guinea (Grün und Rot vertauscht, etwas dunkleres Grün)","Guinea (verde y rojo intercambiados, verde ligeramente más oscuro)","Guinée (vert et rouge inversés, vert légèrement plus foncé)","Guinea (byttet plass på grønt og rødt, noe mørkere grønnfarge)","<img src=""ug-map-mali.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
"jKO,9y0M;#",Mauritania,Mauretanien,Mauritania,Mauritanie,Mauritania,,,,,,Nouakchott,Nouakchott,Nuakchot,Nouakchott,Nouakchott,,,,,,,,,,,"<img src=""ug-flag-mauritania.svg"" />",,,,,,"<img src=""ug-map-mauritania.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
skOM(?n$GG,Mauritius,Mauritius,Mauricio,Maurice,Mauritius,,,,,,Port Louis,Port Louis,Port Louis,Port-Louis,Port Louis,,,,,,,,,,,"<img src=""ug-flag-mauritius.svg"" />",,,,,,"<img src=""ug-map-mauritius.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
