country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:zh-tw,country info:pl,country info:it,country info:da
Eswatini,Known as Swaziland until 2018.,Bis 2018: Swasiland.,Oficialmente Esuatini desde 2018.,Connu comme le Swaziland jusqu'en 2018.,Før 2018 kjent som Swaziland.,,Известен как Свазиленд до 2018 года.,Bekend als Swaziland tot 2018.,Även känt som Eswatini.,Conhecido como Suazilândia até 2018.,2018年之前被称为斯威士兰(Swaziland)。,,Do 2018 r. znane jako Suazi.,Conosciuto come Swaziland fino al 2018.,Kendt som Swaziland til 2018.
Sahrawi Arab Democratic Republic,Partially recognised state claimed by Morocco. Also known as Western Sahara.,"Teilweise anerkannter Staat, beansprucht von Marokko.",Estado parcialmente reconocido reclamado por Marruecos.,État partiellement reconnu revendiqué par le Maroc.,Delvis anerkjent stat som Marokko gjør krav på.,"Částečné uznávaný stát nárokovaný Marokem, známý též jako Západní Sahara.","Частично признанное государство, на которое претендует Марокко.","Deels erkende staat, opgeëist door Marokko.",Även känt som Västsahariska republiken.,Estado parcialmente reconhecido reivindicado por Marrocos.,摩洛哥(Morocco)宣称拥有主权但仅被部分国家承认的地区。,摩洛哥宣稱擁有該地區主權，但僅有部分國家承認。又稱為西撒哈拉。,"Częściowo uznane państwo, terytorium sporne z Marokiem. Znana także jako Saharyjska Arabska Republika Demokratyczna.",Stato parzialmente riconosciuto rivendicato dal Marocco; conosciuta anche come Sahara Occidentale.,Delvist anerkendt stat som Marokko gør krav på. Også kendt som Saharawi Arabiske Demokratiske Republik.
Canary Islands,Autonomous community of Spain.,Autonome Gemeinschaft von Spanien.,Comunidad autónoma de España.,Communauté autonome d'Espagne.,Selvstyrt område i Spania.,Autonomní společenství Španělska.,Автономная община Испании.,Autonome gemeenschap in Spanje.,Spansk autonom region.,Comunidade autônoma da Espanha.,西班牙(Spain)自治区。,西班牙的自治區。,Wspólnota autonomiczna Hiszpanii.,Comunità autonoma della Spagna.,Selvstyrende region af Spanien.
Bahrain,,,,,,,,,Stavas alternativt Bahrein.,,,,,,
China,,,,,Offisielt Folkerepublikken Kina.,,,,,,,,,,
Hong Kong,Special Administrative Region of China.,Sonderverwaltungszone Chinas.,Región administrativa especial de China.,Région administrative spéciale de Chine.,Også kjent som Hong Kong. Spesiell administrativ region i Kina.,Zvláštní administrativní oblast Číny.,Особый административный район Китая.,Speciale bestuurlijke regio van de volksrepubliek China.,Särskild administrativ region i Kina.,Região Administrativa Especial da China.,中国特别行政区。,中國的特別行政區。,Specjalny region administracyjny Chin.,Regione amministrativa speciale della Cina.,Særlig administrativ region i Kina.
Myanmar,Also known as Burma.,Auch Birma oder Burma.,También conocida como Myanmar.,Aussi connue comme le Myanmar.,Også kalt Burma.,Známý též jako Barma.,Также известна как Бирма.,Ook bekend als Birma.,Även känt som Burma.,,"缅甸在国际上公认有2种名字(Myanmar, Burma)。",,Znana także jako Birma.,Conosciuta anche come Myanmar.,Også kendt som Burma.
Qatar,,,,,,,,,Stavas alternativt Katar.,,,,,,
Taiwan,Partially recognised state claimed by China.,"Völkerrechtliche Stellung umstritten, von China beansprucht.",Estado parcialmente reconocido reclamado por China.,État partiellement reconnu revendiqué par la Chine.,Offisielt Republikken Kina. Folkerepublikken Kina gjør også krav på områdene.,"Částečně uznávaný stát nárokovaný Čínou, známý též jako Taiwan.","Частично признанное государство, на которое претендует Китай.","Deels erkende staat, opgeëist door China.","Delvis erkänd stat, görs anspråk på av Kina.",Estado parcialmente reconhecido reivindicado pela China.,中国宣称对台湾拥有主权，但仅被部分国家承认,中國宣稱擁有該地區主權，但僅有部分國家承認。,"Częściowo uznane państwo, terytorium sporne z Chinami.",Stato parzialmente riconosciuto rivendicato dalla Cina.,Delvist anerkendt stat som Kina gør krav på.
Timor-Leste,Also known as East Timor.,Auch Timor-Leste.,,Aussi connu comme le Timor-Leste.,,Známý též jako Timor Leste.,Также известен как Тимор-Лешти.,Ook bekend als Timor-Leste.,Även känt som Timor-Leste.,,也称为东帝汶(Timor-Leste)。,,,Conosciuto anche come Timor-Leste.,Også kendt som Timor-Leste.
